NOME_SUBTIPO_DE_CURSOS,CODIGO_CURSO,CURSO,EIXO_TECNOLOGICO,MODALIDADE,CARGA_HORARIA_CURSO,SITUACAO_ATIVO,CODIGO_UNIDADE_DE_ENSINO,UNIDADE_DE_ENSINO,UF,CODIGO_MUNICIPIO,MUNICIPIO,INICIO,DESISTENCIA,QTDADE_ALUNOS
Graduação,6,Enfermagem,Ambiente e Saúde,Educação Presencial,1200,t,47955,FACULDADE PITÁGORAS DE MACEIÓ - UNIDADE SEDE,AL,2704302,Maceió,2022,1,20
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,47098,CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER - PAP CURITIBA 05,PR,4106902,Curitiba,2024,0,30
Técnico,18,Técnico em Nutrição e Dietética,Ambiente e Saúde,Educação Presencial,1200,t,24227,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU - CAMPUS: BLOCO B,PE,2611606,Recife,2023,0,30
Graduação,50,ADMINISTRAÇÃO,Gestão e Negócios,Educação Presencial,800,a,47002,FACULDADE TRÊS MARIAS (FTM) - PEDRO AFONSO (POLO EAD),TO,1716505,Pedro Afonso,2023,0,30
Técnico,51,Técnico em Comércio,Gestão e Negócios,EAD,800,t,46490,FACULDADE FAMART - UNIDADE SEDE,MG,3133808,Itaúna,2021,3,40
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,Educação Presencial,800,t,46821,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE IRANDUBA/AM,AM,1301852,Iranduba,2022,0,20
Graduação,57,Marketing,Gestão e Negócios,Educação Presencial,800,t,46780,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL DE CACHOEIRINHA/RS,RS,4303103,Cachoeirinha,2024,2,60
Graduação,52,Comércio Exterior,Gestão e Negócios,Educação Presencial,800,t,46490,FACULDADE FAMART - UNIDADE SEDE,MG,3133808,Itaúna,2021,0,20
Graduação,59,Graduação em Recursos Humanos,Gestão e Negócios,EAD,800,t,31508,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI - POLO DE APOIO PRESENCIAL - PAULO AFONSO/BA - UNIDADE PAULO AFONSO,BA,2924009,Paulo Afonso,2022,0,20
Técnico,53,Técnico em Contabilidade,Gestão e Negócios,Educação Presencial,800,t,46792,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI (UNIASSELVI) - Polo de Apoio Presencial de Catalão/GO,GO,5205109,Catalão,2022,1,20
Técnico,74,Técnico em Informática para Internet,Informação e Comunicação,Educação Presencial,1000,t,25017,Centro Universitário de Excelência Eniac - ENIAC - ENDEREÇO SEDE,SP,3518800,Guarulhos,2023,1,30
